n=2730 triples=1340811
init=331143
it=0 cur=331143 best=331143 T=0.83
it=67108864 cur=12066 best=11995 T=0.79
it=134217728 cur=11770 best=11685 T=0.75
it=201326592 cur=11219 best=11129 T=0.72
it=268435456 cur=10876 best=10846 T=0.68
it=335544320 cur=10750 best=10679 T=0.65
it=402653184 cur=10450 best=10436 T=0.62
it=469762048 cur=10292 best=10248 T=0.59
it=536870912 cur=10091 best=10072 T=0.56
it=603979776 cur=9998 best=9965 T=0.54
it=671088640 cur=9875 best=9867 T=0.51
it=738197504 cur=9872 best=9795 T=0.49
it=805306368 cur=9713 best=9696 T=0.47
it=872415232 cur=9652 best=9627 T=0.45
it=939524096 cur=9565 best=9542 T=0.43
it=1006632960 cur=9452 best=9437 T=0.41
it=1073741824 cur=9397 best=9371 T=0.39
it=1140850688 cur=9311 best=9305 T=0.37
it=1207959552 cur=9308 best=9269 T=0.35
it=1275068416 cur=9269 best=9239 T=0.34
it=1342177280 cur=9204 best=9183 T=0.32
it=1409286144 cur=9155 best=9145 T=0.31
it=1476395008 cur=9134 best=9123 T=0.29
it=1543503872 cur=9117 best=9109 T=0.28
it=1610612736 cur=9101 best=9092 T=0.27
it=1677721600 cur=9083 best=9080 T=0.26
it=1744830464 cur=9035 best=9031 T=0.25
it=1811939328 cur=9003 best=9002 T=0.24
it=1879048192 cur=8973 best=8970 T=0.23
it=1946157056 cur=8952 best=8944 T=0.22
it=2013265920 cur=8947 best=8939 T=0.21
it=2080374784 cur=8936 best=8932 T=0.20
it=2147483648 cur=8923 best=8918 T=0.19
it=2214592512 cur=8908 best=8905 T=0.18
it=2281701376 cur=8891 best=8887 T=0.17
it=2348810240 cur=8876 best=8874 T=0.17
it=2415919104 cur=8869 best=8868 T=0.16
it=2483027968 cur=8865 best=8861 T=0.15
it=2550136832 cur=8849 best=8849 T=0.15
it=2617245696 cur=8845 best=8845 T=0.14
it=2684354560 cur=8836 best=8835 T=0.14
it=2751463424 cur=8832 best=8832 T=0.13
it=2818572288 cur=8830 best=8830 T=0.13
it=2885681152 cur=8826 best=8826 T=0.12
it=2952790016 cur=8805 best=8805 T=0.12
it=3019898880 cur=8804 best=8803 T=0.11
it=3087007744 cur=8803 best=8803 T=0.11
it=3154116608 cur=8801 best=8801 T=0.11
it=3221225472 cur=8797 best=8797 T=0.10
it=3288334336 cur=8792 best=8792 T=0.10
