n=2730 triples=1340811
init=331143
it=0 cur=331143 best=331143 T=0.83
it=67108864 cur=16111 best=16092 T=0.79
it=134217728 cur=15867 best=15800 T=0.75
it=201326592 cur=15697 best=15665 T=0.72
it=268435456 cur=15684 best=15581 T=0.68
it=335544320 cur=15506 best=15481 T=0.65
it=402653184 cur=15439 best=15410 T=0.62
it=469762048 cur=15362 best=15332 T=0.59
it=536870912 cur=15368 best=15280 T=0.56
it=603979776 cur=15247 best=15188 T=0.54
it=671088640 cur=15171 best=15131 T=0.51
it=738197504 cur=15136 best=15106 T=0.49
it=805306368 cur=15114 best=15046 T=0.47
it=872415232 cur=15066 best=15008 T=0.45
it=939524096 cur=15019 best=15001 T=0.43
it=1006632960 cur=14956 best=14951 T=0.41
it=1073741824 cur=14942 best=14936 T=0.39
it=1140850688 cur=14944 best=14913 T=0.37
it=1207959552 cur=14898 best=14871 T=0.35
it=1275068416 cur=14881 best=14871 T=0.34
it=1342177280 cur=14856 best=14848 T=0.32
it=1409286144 cur=14846 best=14838 T=0.31
it=1476395008 cur=14840 best=14824 T=0.29
it=1543503872 cur=14824 best=14814 T=0.28
it=1610612736 cur=14820 best=14803 T=0.27
it=1677721600 cur=14821 best=14801 T=0.26
it=1744830464 cur=14799 best=14797 T=0.25
it=1811939328 cur=14795 best=14788 T=0.24
it=1879048192 cur=14803 best=14786 T=0.23
it=1946157056 cur=14791 best=14781 T=0.22
it=2013265920 cur=14792 best=14780 T=0.21
it=2080374784 cur=14781 best=14777 T=0.20
it=2147483648 cur=14774 best=14771 T=0.19
it=2214592512 cur=14766 best=14765 T=0.18
it=2281701376 cur=14762 best=14761 T=0.17
it=2348810240 cur=14760 best=14758 T=0.17
it=2415919104 cur=14759 best=14758 T=0.16
it=2483027968 cur=14748 best=14747 T=0.15
it=2550136832 cur=14745 best=14745 T=0.15
it=2617245696 cur=14747 best=14745 T=0.14
it=2684354560 cur=14743 best=14743 T=0.14
it=2751463424 cur=14741 best=14741 T=0.13
it=2818572288 cur=14741 best=14741 T=0.13
it=2885681152 cur=14740 best=14739 T=0.12
it=2952790016 cur=14738 best=14738 T=0.12
it=3019898880 cur=14738 best=14738 T=0.11
it=3087007744 cur=14737 best=14737 T=0.11
it=3154116608 cur=14736 best=14736 T=0.11
it=3221225472 cur=14736 best=14736 T=0.10
it=3288334336 cur=14735 best=14735 T=0.10
it=3355443200 cur=14735 best=14735 T=0.09
it=3422552064 cur=14735 best=14735 T=0.09
it=3489660928 cur=14733 best=14732 T=0.09
it=3556769792 cur=14731 best=14731 T=0.09
it=3623878656 cur=14731 best=14731 T=0.08
it=3690987520 cur=14731 best=14731 T=0.08
it=3758096384 cur=14731 best=14731 T=0.08
it=3825205248 cur=14731 best=14731 T=0.08
it=3892314112 cur=14730 best=14730 T=0.07
it=3959422976 cur=14724 best=14724 T=0.07
exhausted best=14724
