M=96: fan-clean base with 5986 fan patterns
  9936 same-parity P0xP2 pairs
  Phi=0 SAT; witness sizes A=[48, 49, 103] B=[48, 63, 104] U_A mod2={1: 48} Z_A mod2={0: 103}
  K=2: SAT (phi=8208, sizes A=[12, 110, 10] B=[84, 2, 197]) [0.0s]
  K=3: SAT (phi=2736, sizes A=[54, 8, 148] B=[42, 104, 59]) [0.0s]
  K=4: SAT (phi=2928, sizes A=[48, 4, 164] B=[48, 108, 43]) [0.0s]
  K=5: SAT (phi=1728, sizes A=[48, 14, 139] B=[48, 98, 68]) [0.0s]
  K=6: SAT (phi=2528, sizes A=[52, 14, 148] B=[44, 98, 59]) [0.0s]
  K=7: SAT (phi=720, sizes A=[48, 36, 118] B=[48, 76, 89]) [0.0s]
  K=8: SAT (phi=2408, sizes A=[55, 10, 139] B=[41, 102, 68]) [0.0s]
  K=9: SAT (phi=2528, sizes A=[58, 9, 135] B=[38, 103, 72]) [0.0s]
  K=10: SAT (phi=3192, sizes A=[63, 14, 138] B=[33, 98, 69]) [0.0s]
  K=11: SAT (phi=3362, sizes A=[62, 11, 143] B=[34, 101, 64]) [0.0s]
  K=12: SAT (phi=1264, sizes A=[50, 20, 126] B=[46, 92, 81]) [0.0s]
  K=13: SAT (phi=908, sizes A=[88, 99, 2] B=[8, 13, 205]) [0.0s]
  K=14: SAT (phi=2176, sizes A=[50, 14, 145] B=[46, 98, 62]) [0.0s]
  K=15: SAT (phi=384, sizes A=[48, 38, 111] B=[48, 74, 96]) [0.0s]
  K=16: SAT (phi=624, sizes A=[48, 29, 116] B=[48, 83, 91]) [0.0s]
  K=17: SAT (phi=1104, sizes A=[48, 17, 126] B=[48, 95, 81]) [0.0s]
  K=18: SAT (phi=192, sizes A=[48, 45, 107] B=[48, 67, 100]) [0.0s]
  K=19: SAT (phi=624, sizes A=[48, 80, 90] B=[48, 32, 117]) [0.0s]
  K=20: SAT (phi=1248, sizes A=[48, 92, 77] B=[48, 20, 130]) [0.2s]
  K=21: SAT (phi=1688, sizes A=[49, 21, 137] B=[47, 91, 70]) [0.0s]
  K=22: SAT (phi=672, sizes A=[48, 31, 117] B=[48, 81, 90]) [0.0s]
  K=23: SAT (phi=672, sizes A=[48, 34, 117] B=[48, 78, 90]) [0.0s]
  K=24: SAT (phi=240, sizes A=[48, 46, 108] B=[48, 66, 99]) [0.3s]
  K=25: SAT (phi=672, sizes A=[48, 81, 89] B=[48, 31, 118]) [0.1s]
  K=26: SAT (phi=912, sizes A=[48, 26, 122] B=[48, 86, 85]) [0.0s]
  K=27: SAT (phi=816, sizes A=[48, 27, 120] B=[48, 85, 87]) [0.3s]
  K=28: SAT (phi=720, sizes A=[48, 28, 118] B=[48, 84, 89]) [0.1s]
  K=29: SAT (phi=624, sizes A=[48, 29, 116] B=[48, 83, 91]) [0.0s]
  K=30: SAT (phi=960, sizes A=[48, 82, 83] B=[48, 30, 124]) [0.1s]
  K=31: SAT (phi=672, sizes A=[48, 31, 117] B=[48, 81, 90]) [0.1s]
  K=32: SAT (phi=720, sizes A=[48, 32, 118] B=[48, 80, 89]) [0.1s]
  K=33: SAT (phi=624, sizes A=[48, 33, 116] B=[48, 79, 91]) [0.1s]
  K=34: SAT (phi=672, sizes A=[48, 34, 117] B=[48, 78, 90]) [0.1s]
  K=35: SAT (phi=576, sizes A=[48, 35, 115] B=[48, 77, 92]) [0.1s]
  K=36: SAT (phi=672, sizes A=[48, 36, 117] B=[48, 76, 90]) [0.1s]
  K=37: SAT (phi=672, sizes A=[48, 37, 117] B=[48, 75, 90]) [0.1s]
  K=38: SAT (phi=384, sizes A=[48, 38, 111] B=[48, 74, 96]) [0.2s]
  K=39: SAT (phi=240, sizes A=[48, 40, 108] B=[48, 72, 99]) [0.1s]
  K=40: SAT (phi=288, sizes A=[48, 42, 109] B=[48, 70, 98]) [0.0s]
  K=41: SAT (phi=480, sizes A=[48, 42, 113] B=[48, 70, 94]) [0.1s]
  K=42: SAT (phi=336, sizes A=[48, 70, 96] B=[48, 42, 111]) [0.2s]
  K=43: SAT (phi=288, sizes A=[48, 43, 109] B=[48, 69, 98]) [0.0s]
  K=44: SAT (phi=192, sizes A=[48, 47, 107] B=[48, 65, 100]) [1.3s]
  K=45: SAT (phi=288, sizes A=[48, 67, 97] B=[48, 45, 110]) [0.1s]
  K=46: SAT (phi=288, sizes A=[48, 46, 109] B=[48, 66, 98]) [0.1s]
  K=47: SAT (phi=144, sizes A=[48, 65, 100] B=[48, 47, 107]) [0.1s]
  K=48: SAT (phi=144, sizes A=[48, 64, 100] B=[48, 48, 107]) [0.2s]
  K=49: SAT (phi=48, sizes A=[48, 63, 102] B=[48, 49, 105]) [0.9s]
  K=50: SAT (phi=48, sizes A=[48, 50, 104] B=[48, 62, 103]) [0.4s]
  K=51: UNSAT [1.2s]  — K*(96) = 51
  K=56: UNSAT (tail confirmed)
e149: DONE M=96 K*=51
